strategy,timeframe,entry_preset_idx,exit_preset,period,total_trades,win_rate,sortino_ratio,net_profit_pct,backtest_days
MeanReversionBBRSI,15m,0,null_null,IS,954,0.5524,-3.243,-65.586,733
MeanReversionBBRSI,15m,0,null_null,OOS,543,0.523,-4.045,-44.245,360
MeanReversionBBRSI,15m,0,tight,IS,1309,0.505,-8.186,-76.11,733
MeanReversionBBRSI,15m,0,tight,OOS,702,0.4929,-10.948,-53.574,360
MeanReversionBBRSI,15m,0,wide,IS,1124,0.5445,-4.588,-68.071,733
MeanReversionBBRSI,15m,0,wide,OOS,618,0.5146,-6.273,-48.129,360
MeanReversionBBRSI,15m,0,sl_only_trailing,IS,1136,0.5519,-5.79,-78.789,733
MeanReversionBBRSI,15m,0,sl_only_trailing,OOS,619,0.5202,-8.347,-59.584,360
MeanReversionBBRSI,15m,1,null_null,IS,458,0.5524,-1.735,-45.999,733
MeanReversionBBRSI,15m,1,null_null,OOS,279,0.5054,-2.42,-28.655,360
MeanReversionBBRSI,15m,1,tight,IS,595,0.5008,-5.124,-49.743,733
MeanReversionBBRSI,15m,1,tight,OOS,346,0.474,-6.551,-35.804,360
MeanReversionBBRSI,15m,1,wide,IS,530,0.5377,-2.99,-50.166,733
MeanReversionBBRSI,15m,1,wide,OOS,311,0.5048,-3.931,-34.739,360
MeanReversionBBRSI,15m,1,sl_only_trailing,IS,534,0.5487,-4.173,-64.603,733
MeanReversionBBRSI,15m,1,sl_only_trailing,OOS,311,0.508,-5.418,-44.938,360
MeanReversionBBRSI,15m,2,null_null,IS,425,0.5671,-1.28,-38.454,733
MeanReversionBBRSI,15m,2,null_null,OOS,255,0.5176,-1.486,-18.535,360
MeanReversionBBRSI,15m,2,tight,IS,550,0.4964,-4.912,-47.162,733
MeanReversionBBRSI,15m,2,tight,OOS,309,0.4887,-4.362,-24.548,360
MeanReversionBBRSI,15m,2,wide,IS,493,0.5477,-2.423,-43.258,733
MeanReversionBBRSI,15m,2,wide,OOS,280,0.5071,-3.036,-27.373,360
MeanReversionBBRSI,15m,2,sl_only_trailing,IS,497,0.5573,-3.742,-60.25,733
MeanReversionBBRSI,15m,2,sl_only_trailing,OOS,280,0.5107,-4.53,-38.607,360
MeanReversionBBRSI,1h,0,null_null,IS,255,0.6039,-0.21,-12.575,732
MeanReversionBBRSI,1h,0,null_null,OOS,146,0.5274,-1.143,-25.526,360
MeanReversionBBRSI,1h,0,tight,IS,395,0.4658,-3.901,-46.15,732
MeanReversionBBRSI,1h,0,tight,OOS,222,0.4505,-6.056,-34.284,360
MeanReversionBBRSI,1h,0,wide,IS,336,0.5446,-1.51,-38.391,732
MeanReversionBBRSI,1h,0,wide,OOS,189,0.5026,-3.007,-36.034,360
MeanReversionBBRSI,1h,0,sl_only_trailing,IS,339,0.5752,-2.442,-57.824,732
MeanReversionBBRSI,1h,0,sl_only_trailing,OOS,194,0.5515,-3.783,-43.768,360
MeanReversionBBRSI,1h,1,null_null,IS,116,0.5776,-0.294,-18.021,732
MeanReversionBBRSI,1h,1,null_null,OOS,78,0.4359,-1.358,-22.579,360
MeanReversionBBRSI,1h,1,tight,IS,167,0.4371,-4.238,-30.512,732
MeanReversionBBRSI,1h,1,tight,OOS,110,0.3727,-6.485,-31.61,360
MeanReversionBBRSI,1h,1,wide,IS,149,0.4899,-1.625,-35.566,732
MeanReversionBBRSI,1h,1,wide,OOS,96,0.3958,-3.763,-40.37,360
MeanReversionBBRSI,1h,1,sl_only_trailing,IS,149,0.5436,-1.975,-42.183,732
MeanReversionBBRSI,1h,1,sl_only_trailing,OOS,96,0.4792,-3.452,-38.094,360
MeanReversionBBRSI,1h,2,null_null,IS,89,0.5281,-0.231,-10.676,732
MeanReversionBBRSI,1h,2,null_null,OOS,60,0.5667,-0.729,-27.579,360
MeanReversionBBRSI,1h,2,tight,IS,147,0.3673,-5.485,-35.712,732
MeanReversionBBRSI,1h,2,tight,OOS,91,0.3956,-6.517,-22.619,360
MeanReversionBBRSI,1h,2,wide,IS,125,0.432,-2.23,-39.721,732
MeanReversionBBRSI,1h,2,wide,OOS,83,0.4337,-4.919,-39.647,360
MeanReversionBBRSI,1h,2,sl_only_trailing,IS,125,0.504,-2.344,-43.104,732
MeanReversionBBRSI,1h,2,sl_only_trailing,OOS,83,0.5422,-5.407,-36.684,360
MeanReversionBBRSI,4h,0,null_null,IS,71,0.6479,0.007,0.647,725
MeanReversionBBRSI,4h,0,null_null,OOS,38,0.6316,-0.308,-15.346,360
MeanReversionBBRSI,4h,0,tight,IS,92,0.5,-1.114,-19.959,725
MeanReversionBBRSI,4h,0,tight,OOS,49,0.5102,-2.841,-19.946,360
MeanReversionBBRSI,4h,0,wide,IS,80,0.625,-0.193,-9.528,725
MeanReversionBBRSI,4h,0,wide,OOS,44,0.6364,-0.844,-17.195,360
MeanReversionBBRSI,4h,0,sl_only_trailing,IS,80,0.65,-0.421,-20.237,725
MeanReversionBBRSI,4h,0,sl_only_trailing,OOS,44,0.6591,-0.944,-19.458,360
MeanReversionBBRSI,4h,1,null_null,IS,8,0.875,-100.0,8.519,725
MeanReversionBBRSI,4h,1,null_null,OOS,5,0.6,-0.12,-4.639,360
MeanReversionBBRSI,4h,1,tight,IS,9,0.3333,-4.656,-7.509,725
MeanReversionBBRSI,4h,1,tight,OOS,5,0.6,-1.187,-0.398,360
MeanReversionBBRSI,4h,1,wide,IS,8,0.75,2.313,6.355,725
MeanReversionBBRSI,4h,1,wide,OOS,5,0.6,-57.645,-3.393,360
MeanReversionBBRSI,4h,1,sl_only_trailing,IS,8,0.75,-0.012,-0.03,725
MeanReversionBBRSI,4h,1,sl_only_trailing,OOS,5,0.6,-57.645,-3.393,360
MeanReversionBBRSI,4h,2,null_null,IS,33,0.8788,1.893,79.359,725
MeanReversionBBRSI,4h,2,null_null,OOS,16,0.5625,-0.301,-25.424,360
MeanReversionBBRSI,4h,2,tight,IS,48,0.5625,5.817,25.627,725
MeanReversionBBRSI,4h,2,tight,OOS,24,0.1667,-3.974,-27.4,360
MeanReversionBBRSI,4h,2,wide,IS,39,0.7179,1.064,54.204,725
