strategy,exit_mode,period,total_trades,win_rate,sortino_ratio,net_profit_pct,backtest_days
Combo1ClassicRsiPriceBBVolume,null,IS,125,0.488,-0.359,-5.944,732
Combo1ClassicRsiPriceBBVolume,null,OOS,73,0.3425,-1.995,-15.794,360
Combo1ClassicRsiPriceBBVolume,wide,IS,413,0.414,-3.161,-39.624,732
Combo1ClassicRsiPriceBBVolume,wide,OOS,191,0.4188,-3.595,-22.641,360
Combo2ClassicRsiPriceBBCmf,null,IS,25,0.36,-0.258,-3.03,732
Combo2ClassicRsiPriceBBCmf,null,OOS,14,0.5714,0.145,0.631,360
Combo2ClassicRsiPriceBBCmf,wide,IS,824,0.3034,-2.608,-30.976,732
Combo2ClassicRsiPriceBBCmf,wide,OOS,364,0.3049,-3.584,-17.898,360
Combo3ClassicRsiKeltnerVolume,null,IS,22,0.5909,-0.061,-1.305,732
Combo3ClassicRsiKeltnerVolume,null,OOS,12,0.25,-0.719,-5.033,360
Combo3ClassicRsiKeltnerVolume,wide,IS,22,0.5909,-0.061,-1.305,732
Combo3ClassicRsiKeltnerVolume,wide,OOS,12,0.25,-0.719,-5.033,360
Combo4ClassicRsiKeltnerCmf,null,IS,73,0.3973,0.165,2.18,732
Combo4ClassicRsiKeltnerCmf,null,OOS,29,0.3793,-0.835,-7.271,360
Combo4ClassicRsiKeltnerCmf,wide,IS,73,0.3973,0.165,2.18,732
Combo4ClassicRsiKeltnerCmf,wide,OOS,29,0.3793,-0.835,-7.271,360
Combo5RsiBBPriceBBVolume,null,IS,893,0.327,0.207,3.229,732
Combo5RsiBBPriceBBVolume,null,OOS,444,0.286,-8.729,-43.534,360
Combo5RsiBBPriceBBVolume,wide,IS,412,0.3859,0.018,0.258,732
Combo5RsiBBPriceBBVolume,wide,OOS,187,0.2995,-4.716,-29.828,360
Combo6RsiBBPriceBBCmf,null,IS,454,0.3436,1.166,22.544,732
Combo6RsiBBPriceBBCmf,null,OOS,217,0.2673,-6.493,-41.748,360
Combo6RsiBBPriceBBCmf,wide,IS,20,0.55,0.351,7.377,732
Combo6RsiBBPriceBBCmf,wide,OOS,4,0.0,-0.779,-2.573,360
Combo7RsiBBKeltnerVolume,null,IS,19,0.5263,-0.001,-0.02,732
Combo7RsiBBKeltnerVolume,null,OOS,9,0.5556,-0.062,-0.228,360
Combo7RsiBBKeltnerVolume,wide,IS,32,0.4062,-0.068,-1.203,732
Combo7RsiBBKeltnerVolume,wide,OOS,16,0.5,-0.309,-1.949,360
Combo8RsiBBKeltnerCmf,null,IS,287,0.3763,1.35,29.137,732
Combo8RsiBBKeltnerCmf,null,OOS,135,0.2889,-4.139,-29.139,360
Combo8RsiBBKeltnerCmf,wide,IS,254,0.4094,1.37,33.852,732
Combo8RsiBBKeltnerCmf,wide,OOS,112,0.3214,-3.16,-20.725,360
